Frequency (Hz), Magnitude (dB)
9773.437500, 0.035826
9785.156250, 0.035233
9796.875000, 0.034300
9808.593750, 0.033038
9820.312500, 0.031456
9832.031250, 0.029572
9843.750000, 0.027402
9855.468750, 0.024968
9867.187500, 0.022293
9878.906250, 0.019403
9890.625000, 0.016325
9902.343750, 0.013088
9914.062500, 0.009725
9925.781250, 0.006267
9937.500000, 0.002747
9949.218750, -0.000800
9960.937500, -0.004340
9972.656250, -0.007840
9984.375000, -0.011264
9996.093750, -0.014580
10007.812500, -0.017756
10019.531250, -0.020761
10031.250000, -0.023566
10042.968750, -0.026143
10054.687500, -0.028467
10066.406250, -0.030516
10078.125000, -0.032270
10089.843750, -0.033712
10101.562500, -0.034827
10113.281250, -0.035605
10125.000000, -0.036038
10136.718750, -0.036122
10148.437500, -0.035856
10160.156250, -0.035243
10171.875000, -0.034288
10183.593750, -0.033002
10195.312500, -0.031397
10207.031250, -0.029487
10218.750000, -0.027294
10230.468750, -0.024836
10242.187500, -0.022139
10253.906250, -0.019229
10265.625000, -0.016134
10277.343750, -0.012885
10289.062500, -0.009512
10300.781250, -0.006048
10312.500000, -0.002528
10324.218750, 0.001015
10335.937500, 0.004547
10347.656250, 0.008033
10359.375000, 0.011440
10371.093750, 0.014735
10382.812500, 0.017886
10394.531250, 0.020864
10406.250000, 0.023639
10417.968750, 0.026185
10429.687500, 0.028477
10441.406250, 0.030494
10453.125000, 0.032216
10464.843750, 0.033627
10476.562500, 0.034714
10488.281250, 0.035465
10500.000000, 0.035874
10511.718750, 0.035938
10523.437500, 0.035654
10535.156250, 0.035027
10546.875000, 0.034061
10558.593750, 0.032767
10570.312500, 0.031156
10582.031250, 0.029244
10593.750000, 0.027050
10605.468750, 0.024594
10617.187500, 0.021899
10628.906250, 0.018992
10640.625000, 0.015901
10652.343750, 0.012655
10664.062500, 0.009285
10675.781250, 0.005824
10687.500000, 0.002305
10699.218750, -0.001238
10710.937500, -0.004770
10722.656250, -0.008258
10734.375000, -0.011668
10746.093750, -0.014966
10757.812500, -0.018121
10769.531250, -0.021102
10781.250000, -0.023880
10792.968750, -0.026428
10804.687500, -0.028721
10816.406250, -0.030737
10828.125000, -0.032456
10839.843750, -0.033861
10851.562500, -0.034939
10863.281250, -0.035679
10875.000000, -0.036073
10886.718750, -0.036118
10898.437500, -0.035814
10910.156250, -0.035163
10921.875000, -0.034171
10933.593750, -0.032849
10945.312500, -0.031209
10957.031250, -0.029268
10968.750000, -0.027043
10980.468750, -0.024557
10992.187500, -0.021834
11003.906250, -0.018901
11015.625000, -0.015785
11027.343750, -0.012518
11039.062500, -0.009131
11050.781250, -0.005656
11062.500000, -0.002127
11074.218750, 0.001421
11085.937500, 0.004955
11097.656250, 0.008439
11109.375000, 0.011842
11121.093750, 0.015130
11132.812500, 0.018271
11144.531250, 0.021236
11156.250000, 0.023996
11167.968750, 0.026524
11179.687500, 0.028796
11191.406250, 0.030791
11203.125000, 0.032490
11214.843750, 0.033876
11226.562500, 0.034936
11238.281250, 0.035661
11250.000000, 0.036042
11261.718750, 0.036077
11273.437500, 0.035765
11285.156250, 0.035109
11296.875000, 0.034116
11308.593750, 0.032794
11320.312500, 0.031157
11332.031250, 0.029220
11343.750000, 0.027001
11355.468750, 0.024523
11367.187500, 0.021807
11378.906250, 0.018882
